,weight_2022,pitax_2022,total_gross_income_2022,weight_ref_2022,pitax_ref_2022,total_gross_income_ref_2022,weight_ref_2023,pitax_ref_2023,total_gross_income_ref_2023,weight_ref_2024,pitax_ref_2024,total_gross_income_ref_2024,weight_ref_2025,pitax_ref_2025,total_gross_income_ref_2025,weight_ref_2026,pitax_ref_2026,total_gross_income_ref_2026,weight_ref_2027,pitax_ref_2027,total_gross_income_ref_2027,ETR,ETR_ref
70,"9,473.2668","4,443.0000","21,949.0000","9,473.2668","4,443.0000","21,949.0000","9,473.2668","4,596.0000","23,871.0000","9,473.2668","4,953.0000","25,784.0000","9,473.2668","5,370.0000","28,022.0000","9,473.2668","5,827.0000","30,395.0000","9,473.2668","6,317.0000","32,953.0000",0.2024,0.2024
71,"9,473.2668","4,505.0000","22,639.0000","9,473.2668","4,505.0000","22,639.0000","9,473.2668","4,654.0000","24,622.0000","9,473.2668","5,018.0000","26,595.0000","9,473.2668","5,453.0000","28,903.0000","9,473.2668","5,924.0000","31,351.0000","9,473.2668","6,427.0000","33,989.0000",0.1990,0.1990
72,"9,478.9701","4,729.0000","23,360.0000","9,478.9701","4,729.0000","23,360.0000","9,478.9701","4,897.0000","25,406.0000","9,478.9701","5,261.0000","27,442.0000","9,478.9701","5,687.0000","29,824.0000","9,478.9701","6,168.0000","32,349.0000","9,478.9701","6,687.0000","35,072.0000",0.2024,0.2024
73,"9,473.2668","4,887.0000","24,149.0000","9,473.2668","4,887.0000","24,149.0000","9,473.2668","5,040.0000","26,264.0000","9,473.2668","5,435.0000","28,369.0000","9,473.2668","5,896.0000","30,832.0000","9,473.2668","6,399.0000","33,442.0000","9,473.2668","6,952.0000","36,257.0000",0.2024,0.2024
74,"9,473.2668","5,070.0000","25,041.0000","9,473.2668","5,070.0000","25,041.0000","9,473.2668","5,239.0000","27,234.0000","9,473.2668","5,647.0000","29,416.0000","9,473.2668","6,127.0000","31,970.0000","9,473.2668","6,650.0000","34,676.0000","9,473.2668","7,212.0000","37,595.0000",0.2025,0.2025
75,"9,478.9701","5,225.0000","25,991.0000","9,478.9701","5,225.0000","25,991.0000","9,478.9701","5,394.0000","28,268.0000","9,478.9701","5,816.0000","30,533.0000","9,478.9701","6,309.0000","33,183.0000","9,478.9701","6,845.0000","35,993.0000","9,478.9701","7,426.0000","39,023.0000",0.2010,0.2010
76,"9,473.2668","5,417.0000","26,923.0000","9,473.2668","5,417.0000","26,923.0000","9,473.2668","5,596.0000","29,281.0000","9,473.2668","6,031.0000","31,627.0000","9,473.2668","6,546.0000","34,373.0000","9,473.2668","7,101.0000","37,283.0000","9,473.2668","7,699.0000","40,421.0000",0.2012,0.2012
77,"9,473.2668","5,526.0000","27,925.0000","9,473.2668","5,526.0000","27,925.0000","9,473.2668","5,716.0000","30,371.0000","9,473.2668","6,153.0000","32,805.0000","9,473.2668","6,687.0000","35,652.0000","9,473.2668","7,259.0000","38,671.0000","9,473.2668","7,880.0000","41,926.0000",0.1979,0.1979
78,"9,478.9701","5,804.0000","28,985.0000","9,478.9701","5,804.0000","28,985.0000","9,478.9701","6,008.0000","31,524.0000","9,478.9701","6,481.0000","34,050.0000","9,478.9701","7,036.0000","37,006.0000","9,478.9701","7,636.0000","40,139.0000","9,478.9701","8,279.0000","43,518.0000",0.2002,0.2002
79,"9,473.2668","5,961.0000","30,092.0000","9,473.2668","5,961.0000","30,092.0000","9,473.2668","6,167.0000","32,728.0000","9,473.2668","6,650.0000","35,351.0000","9,473.2668","7,214.0000","38,419.0000","9,473.2668","7,825.0000","41,672.0000","9,473.2668","8,484.0000","45,180.0000",0.1981,0.1981
80,"9,475.5481","6,180.0000","31,296.0000","9,475.5481","6,180.0000","31,296.0000","9,475.5481","6,384.0000","34,037.0000","9,475.5481","6,878.0000","36,764.0000","9,475.5481","7,463.0000","39,955.0000","9,475.5481","8,095.0000","43,339.0000","9,475.5481","8,787.0000","46,987.0000",0.1975,0.1975
81,"9,474.4074","6,479.0000","32,648.0000","9,474.4074","6,479.0000","32,648.0000","9,474.4074","6,704.0000","35,508.0000","9,474.4074","7,231.0000","38,353.0000","9,474.4074","7,845.0000","41,683.0000","9,474.4074","8,512.0000","45,212.0000","9,474.4074","9,236.0000","49,018.0000",0.1985,0.1985
